id,title,category,price_raw,price,currency,unit,moq,supplier,city,state,location,rating,response_rate_pct,response_time,certification,years_in_business,listed_date,source,url,price_usd,price_eur,related_keywords,country_region,country_subregion,schema_version,price_anomaly,category_label,region,price_bucket,response_tier,supplier_maturity,quality_score
8c3d8b555beb46,CNC Lathe Machine,industrial-machinery,Get Latest Price,,INR,piece,100,Shree Modern Works,Kolkata,West Bengal,"Kolkata, West Bengal",,,Within 1 Hour,,,2025-05-30,indiamart_mock,https://www.indiamart.com/proddetail/4fc1432b.html,,,,Asia,Southern Asia,v2,False,Industrial Machinery,East,,,,40.0
c9a284025d02cb,Semi-Automatic Pneumatic Drill Press,industrial-machinery,"₹2,599,309 / piece",2599309.25,INR,piece,5,Quality National Solutions,Pune,Maharashtra,"Pune, Maharashtra",,72.0,2-3 Days,,4.0,2025-10-31,indiamart_mock,https://www.indiamart.com/proddetail/1accc7eb.html,31191.71,28592.4,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,Medium,Growing,80.0
5ef650fef13748,Centrifugal Pump,industrial-machinery,"₹1,130,224 / piece",1130223.66,INR,piece,25,Apex Star Enterprises,Kolkata,West Bengal,"Kolkata, West Bengal",,54.0,2-3 Days,BIS,,2026-03-17,indiamart_mock,https://www.indiamart.com/proddetail/d00f4edf.html,13562.68,12432.46,,Asia,Southern Asia,v2,False,Industrial Machinery,East,>10L,Low,,80.0
aecfd2bb724138,Heavy Duty Injection Moulding Machine,industrial-machinery,"₹2,173,892 / set",2173892.5,INR,set,25,National Prime Suppliers,Hyderabad,Telangana,"Hyderabad, Telangana",,100.0,2-3 Days,MSME Registered,32.0,2026-03-04,indiamart_mock,https://www.indiamart.com/proddetail/57a6c655.html,26086.71,23912.82,,Asia,Southern Asia,v2,False,Industrial Machinery,South,>10L,Excellent,Veteran,80.0
6c791e2bbb8c10,Industrial Conveyor Belt,industrial-machinery,Get Latest Price,,INR,set,25,Modern Supreme Works,Delhi,Delhi,"Delhi, Delhi",4.7,82.0,Within 1 Hour,CE,,2025-08-01,indiamart_mock,https://www.indiamart.com/proddetail/7a215d53.html,,,,Asia,Southern Asia,v2,False,Industrial Machinery,North,,High,,80.0
8d79fa3d8c5ad9,Automatic CNC Lathe Machine,industrial-machinery,"₹193,241 / piece",193241.36,INR,piece,50,Global Modern Solutions,Visakhapatnam,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",4.9,95.0,Within 24 Hours,ROHS,9.0,2025-08-02,indiamart_mock,https://www.indiamart.com/proddetail/8c2de21f.html,2318.9,2125.65,,Asia,Southern Asia,v2,False,Industrial Machinery,South,1L–10L,Excellent,Established,100.0
2f96ca344bd95f,Semi-Automatic Centrifugal Pump,industrial-machinery,Get Latest Price,,INR,piece,50,Shree Excellent Solutions,Surat,Gujarat,"Surat, Gujarat",,54.0,Within 4 Hours,,29.0,2026-02-07,indiamart_mock,https://www.indiamart.com/proddetail/bde1a8c5.html,,,,Asia,Southern Asia,v2,False,Industrial Machinery,West,,Low,Veteran,60.0
feab4b396e2ee2,Energy Efficient Grinding Mill,industrial-machinery,"₹50,087 / unit",50086.64,INR,unit,1,Apex Universal Works,Noida,Uttar Pradesh,"Noida, Uttar Pradesh",3.3,,Within 1 Hour,CE,14.0,2025-06-22,indiamart_mock,https://www.indiamart.com/proddetail/bda9af2a.html,601.04,550.95,,Asia,Southern Asia,v2,False,Industrial Machinery,North,10K–1L,,Established,80.0
9b96f9e918aed4,Industrial Mixer,industrial-machinery,"₹2,206,065 / piece",2206065.36,INR,piece,500,Star Pioneer Works,Gurgaon,Haryana,"Gurgaon, Haryana",,,Within 4 Hours,MSME Registered,,2025-10-23,indiamart_mock,https://www.indiamart.com/proddetail/510b7312.html,26472.78,24266.72,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,,,60.0
72816dc32c324f,Energy Efficient Gear Hobbing Machine,industrial-machinery,"₹4,253,553 / unit",4253553.46,INR,unit,1,Shree Sri Enterprises,Vadodara,Gujarat,"Vadodara, Gujarat",4.2,,Within 4 Hours,ISO 9001:2015,3.0,2025-08-21,indiamart_mock,https://www.indiamart.com/proddetail/a7c92e3f.html,51042.64,46789.09,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,,Startup,80.0
0040c2fe1dba24,Screw Compressor,industrial-machinery,"₹3,513,821 / set",3513821.34,INR,set,5,Universal Sri Manufacturing Co.,Hyderabad,Telangana,"Hyderabad, Telangana",5.0,76.0,Within 1 Hour,CE,22.0,2026-03-09,indiamart_mock,https://www.indiamart.com/proddetail/bb385df0.html,42165.86,38652.03,,Asia,Southern Asia,v2,False,Industrial Machinery,South,>10L,Medium,Veteran,100.0
a243d338dc44cf,High Speed Power Press Machine,industrial-machinery,"₹1,730,700 / piece",1730699.63,INR,piece,5,Pioneer National Enterprises,Hyderabad,Telangana,"Hyderabad, Telangana",3.9,100.0,Within 4 Hours,ROHS,,2026-02-03,indiamart_mock,https://www.indiamart.com/proddetail/0bb9b57d.html,20768.4,19037.7,,Asia,Southern Asia,v2,False,Industrial Machinery,South,>10L,Excellent,,100.0
05fa15313c4cef,Pneumatic Drill Press,industrial-machinery,"₹2,892,046 / set",2892045.6,INR,set,10,Apex Pioneer Manufacturing Co.,Surat,Gujarat,"Surat, Gujarat",3.2,61.0,,MSME Registered,,2025-08-26,indiamart_mock,https://www.indiamart.com/proddetail/ef4cda21.html,34704.55,31812.5,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,Medium,,100.0
13d80169053d04,Rotary Furnace,industrial-machinery,"₹533,671 / unit",533671.34,INR,unit,100,Prime Modern Works,Kolkata,West Bengal,"Kolkata, West Bengal",4.0,93.0,Within 4 Hours,,22.0,2026-05-05,indiamart_mock,https://www.indiamart.com/proddetail/21d63a44.html,6404.06,5870.38,,Asia,Southern Asia,v2,False,Industrial Machinery,East,1L–10L,High,Veteran,100.0
1d8139af274a9a,Semi-Automatic Rotary Furnace,industrial-machinery,"₹1,402,142 / set",1402141.71,INR,set,10,Supreme Pioneer Works,Ludhiana,Punjab,"Ludhiana, Punjab",3.4,74.0,Within 4 Hours,MSME Registered,1.0,2025-06-05,indiamart_mock,https://www.indiamart.com/proddetail/a6110499.html,16825.7,15423.56,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,Medium,Startup,100.0
92c0afef70cd1a,Automatic Welding Machine,industrial-machinery,"₹2,100,472 / set",2100472.03,INR,set,25,Modern Universal Manufacturing Co.,Visakhapatnam,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",4.9,92.0,Within 1 Hour,MSME Registered,22.0,2025-09-08,indiamart_mock,https://www.indiamart.com/proddetail/309dcf2b.html,25205.66,23105.19,,Asia,Southern Asia,v2,False,Industrial Machinery,South,>10L,High,Veteran,100.0
3d1d97c97a7d2d,Automatic CNC Lathe Machine,industrial-machinery,"₹124,548 / piece",124547.86,INR,piece,500,Apex Global Corporation,Hyderabad,Telangana,"Hyderabad, Telangana",3.9,86.0,Within 4 Hours,,16.0,2025-07-19,indiamart_mock,https://www.indiamart.com/proddetail/77823c55.html,1494.57,1370.03,,Asia,Southern Asia,v2,False,Industrial Machinery,South,1L–10L,High,Veteran,100.0
43057bde0d0d9b,Heavy Duty Industrial Conveyor Belt,industrial-machinery,"₹803,852 / unit",803851.77,INR,unit,50,Apex Prime Trading Co.,Ludhiana,Punjab,"Ludhiana, Punjab",,79.0,Within 4 Hours,,21.0,2026-05-02,indiamart_mock,https://www.indiamart.com/proddetail/26f6db8d.html,9646.22,8842.37,,Asia,Southern Asia,v2,False,Industrial Machinery,North,1L–10L,Medium,Veteran,80.0
f07a81b75f46e8,High Speed Power Press Machine,industrial-machinery,"₹2,014,923 / piece",2014922.55,INR,piece,25,Prime Star Works,Thane,Maharashtra,"Thane, Maharashtra",,90.0,Within 24 Hours,,18.0,2025-09-26,indiamart_mock,https://www.indiamart.com/proddetail/7b484265.html,24179.07,22164.15,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,High,Veteran,80.0
8dd5a3c64ef7ae,Heavy Duty Gear Hobbing Machine,industrial-machinery,"₹4,020,225 / piece",4020225.35,INR,piece,25,Pioneer Bharat Manufacturing Co.,Hyderabad,Telangana,"Hyderabad, Telangana",4.4,,2-3 Days,,27.0,2026-01-29,indiamart_mock,https://www.indiamart.com/proddetail/af39301c.html,48242.7,44222.48,,Asia,Southern Asia,v2,False,Industrial Machinery,South,>10L,,Veteran,80.0
3465f0156ca7f2,Automatic Hydraulic Press Machine,industrial-machinery,"₹3,857,443 / unit",3857443.16,INR,unit,10,Apex Modern Industries,Faridabad,Haryana,"Faridabad, Haryana",,76.0,,ROHS,18.0,2026-05-24,indiamart_mock,https://www.indiamart.com/proddetail/860cc917.html,46289.32,42431.87,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,Medium,Veteran,80.0
9b517be3bebdc8,Industrial Air Compressor,industrial-machinery,"₹3,262,953 / set",3262953.48,INR,set,50,Universal Universal Export House,Kolkata,West Bengal,"Kolkata, West Bengal",,86.0,Within 1 Hour,BIS,9.0,2025-07-13,indiamart_mock,https://www.indiamart.com/proddetail/54c1b6be.html,39155.44,35892.49,,Asia,Southern Asia,v2,False,Industrial Machinery,East,>10L,High,Established,80.0
c7a3722485f8c1,Grinding Mill,industrial-machinery,"₹2,054,326 / set",2054326.47,INR,set,10,Prime Bharat Trading Co.,Ahmedabad,Gujarat,"Ahmedabad, Gujarat",4.7,55.0,2-3 Days,ISO 9001:2015,4.0,2025-11-14,indiamart_mock,https://www.indiamart.com/proddetail/51302b15.html,24651.92,22597.59,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,Low,Growing,100.0
9c444e118cef08,Automatic Metal Cutting Bandsaw,industrial-machinery,"₹4,274,009 / piece",4274008.62,INR,piece,5,Shree Apex Industries,Gurgaon,Haryana,"Gurgaon, Haryana",,57.0,,ROHS,17.0,2025-07-13,indiamart_mock,https://www.indiamart.com/proddetail/5607dff5.html,51288.1,47014.09,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,Low,Veteran,80.0
3b468308fa1376,Power Press Machine,industrial-machinery,"₹3,503,397 / piece",3503396.61,INR,piece,50,Supreme Supreme Enterprises,Noida,Uttar Pradesh,"Noida, Uttar Pradesh",,93.0,2-3 Days,,13.0,2026-04-02,indiamart_mock,https://www.indiamart.com/proddetail/fa2b8d9a.html,42040.76,38537.36,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,High,Established,80.0
8b238be18a83e6,Energy Efficient CNC Lathe Machine,industrial-machinery,"₹3,828,565 / unit",3828565.18,INR,unit,500,Global Sri Pvt. Ltd.,Gurgaon,Haryana,"Gurgaon, Haryana",,92.0,Within 24 Hours,BIS,22.0,2025-08-11,indiamart_mock,https://www.indiamart.com/proddetail/32207003.html,45942.78,42114.22,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,High,Veteran,80.0
26134529245467,High Speed Hydraulic Press Machine,industrial-machinery,"₹3,187,279 / set",3187279.27,INR,set,100,Prime Bharat Suppliers,Ludhiana,Punjab,"Ludhiana, Punjab",,84.0,2-3 Days,,18.0,2025-09-02,indiamart_mock,https://www.indiamart.com/proddetail/73c2278a.html,38247.35,35060.07,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,High,Veteran,80.0
669b8bd25510c3,Automatic Metal Cutting Bandsaw,industrial-machinery,"₹3,380,886 / unit",3380886.12,INR,unit,10,Pioneer Excellent Trading Co.,Surat,Gujarat,"Surat, Gujarat",,61.0,2-3 Days,ROHS,17.0,2025-11-14,indiamart_mock,https://www.indiamart.com/proddetail/61e71efe.html,40570.63,37189.75,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,Medium,Veteran,80.0
17660d6b58515a,Semi-Automatic Metal Cutting Bandsaw,industrial-machinery,"₹2,332,073 / piece",2332073.22,INR,piece,25,Pioneer Quality Industries,Nashik,Maharashtra,"Nashik, Maharashtra",3.5,95.0,2-3 Days,,6.0,2025-10-31,indiamart_mock,https://www.indiamart.com/proddetail/37cf9762.html,27984.88,25652.81,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,Excellent,Growing,100.0
389f54c09a8a0e,Automatic Automatic Welding Machine,industrial-machinery,"₹1,670,057 / unit",1670056.72,INR,unit,100,Pioneer Universal Solutions,Hyderabad,Telangana,"Hyderabad, Telangana",3.7,69.0,Within 24 Hours,ROHS,,2025-10-22,indiamart_mock,https://www.indiamart.com/proddetail/ee881f87.html,20040.68,18370.62,,Asia,Southern Asia,v2,False,Industrial Machinery,South,>10L,Medium,,100.0
0e4f6a15d17cf6,Pneumatic Drill Press,industrial-machinery,"₹874,061 / unit",874061.26,INR,unit,500,Apex Supreme Corporation,Vadodara,Gujarat,"Vadodara, Gujarat",3.6,,Within 4 Hours,MSME Registered,12.0,2025-07-30,indiamart_mock,https://www.indiamart.com/proddetail/376c4df1.html,10488.74,9614.67,,Asia,Southern Asia,v2,False,Industrial Machinery,West,1L–10L,,Established,80.0
b4370f419fd04c,Heavy Duty Automatic Welding Machine,industrial-machinery,"₹2,496,815 / unit",2496814.97,INR,unit,500,Pioneer Shree Industries,Coimbatore,Tamil Nadu,"Coimbatore, Tamil Nadu",3.2,,Within 24 Hours,,22.0,2025-07-05,indiamart_mock,https://www.indiamart.com/proddetail/df9f0274.html,29961.78,27464.96,,Asia,Southern Asia,v2,False,Industrial Machinery,South,>10L,,Veteran,80.0
781860627326ed,Industrial Conveyor Belt,industrial-machinery,"₹1,812,173 / piece",1812172.88,INR,piece,1,Sri Star Enterprises,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",,69.0,Within 1 Hour,ROHS,,2025-06-10,indiamart_mock,https://www.indiamart.com/proddetail/3ce165b1.html,21746.07,19933.9,,Asia,Southern Asia,v2,False,Industrial Machinery,Central,>10L,Medium,,80.0
e3307942634f9d,High Speed Power Press Machine,industrial-machinery,"₹1,720,995 / set",1720995.45,INR,set,25,Global Apex Works,Noida,Uttar Pradesh,"Noida, Uttar Pradesh",4.2,97.0,Within 1 Hour,ROHS,17.0,2025-07-30,indiamart_mock,https://www.indiamart.com/proddetail/303e207c.html,20651.95,18930.95,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,Excellent,Veteran,100.0
2a38adfacb2c9e,Centrifugal Pump,industrial-machinery,"₹27,001 / set",27000.62,INR,set,10,Quality Sri Corporation,Rajkot,Gujarat,"Rajkot, Gujarat",,68.0,2-3 Days,BIS,17.0,2025-09-29,indiamart_mock,https://www.indiamart.com/proddetail/daf808ca.html,324.01,297.01,,Asia,Southern Asia,v2,False,Industrial Machinery,West,10K–1L,Medium,Veteran,80.0
4a09869ca34345,Energy Efficient Power Press Machine,industrial-machinery,"₹1,023,270 / piece",1023270.38,INR,piece,1,Prime Sri Works,Pune,Maharashtra,"Pune, Maharashtra",,88.0,,MSME Registered,30.0,2026-03-16,indiamart_mock,https://www.indiamart.com/proddetail/5a462585.html,12279.24,11255.97,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,High,Veteran,80.0
cba8781d7670c2,Semi-Automatic Industrial Mixer,industrial-machinery,Get Latest Price,,INR,unit,100,Quality Quality Suppliers,Ahmedabad,Gujarat,"Ahmedabad, Gujarat",3.5,,,ISO 9001:2015,18.0,2025-10-18,indiamart_mock,https://www.indiamart.com/proddetail/2cb01993.html,,,,Asia,Southern Asia,v2,False,Industrial Machinery,West,,,Veteran,60.0
d53791f19128ad,Heavy Duty Rotary Furnace,industrial-machinery,"₹4,123,586 / piece",4123586.45,INR,piece,100,Excellent Quality Suppliers,Rajkot,Gujarat,"Rajkot, Gujarat",4.9,76.0,Within 24 Hours,,11.0,2025-10-16,indiamart_mock,https://www.indiamart.com/proddetail/a9c5e530.html,49483.04,45359.45,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,Medium,Established,100.0
4549d0d34c78c6,High Speed Metal Cutting Bandsaw,industrial-machinery,"₹179,587 / piece",179586.63,INR,piece,1,Universal Prime Works,Chennai,Tamil Nadu,"Chennai, Tamil Nadu",3.8,50.0,,,13.0,2025-12-13,indiamart_mock,https://www.indiamart.com/proddetail/04de734e.html,2155.04,1975.45,,Asia,Southern Asia,v2,False,Industrial Machinery,South,1L–10L,Low,Established,100.0
30e9ca458e2786,Semi-Automatic Injection Moulding Machine,industrial-machinery,"₹927,959 / unit",927958.7,INR,unit,25,Universal Excellent Industries,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",4.0,,,ROHS,20.0,2025-12-31,indiamart_mock,https://www.indiamart.com/proddetail/8ce2f7de.html,11135.5,10207.55,,Asia,Southern Asia,v2,False,Industrial Machinery,Central,1L–10L,,Veteran,80.0
149c91e0717066,Heavy Duty Injection Moulding Machine,industrial-machinery,"₹2,084,594 / piece",2084593.81,INR,piece,25,Global Star Enterprises,Surat,Gujarat,"Surat, Gujarat",3.6,76.0,2-3 Days,,10.0,2026-03-10,indiamart_mock,https://www.indiamart.com/proddetail/b589f0e5.html,25015.13,22930.53,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,Medium,Established,100.0
8d2e13ade57afd,Automatic Industrial Air Compressor,industrial-machinery,"₹1,253,970 / set",1253969.6,INR,set,10,Supreme National Enterprises,Thane,Maharashtra,"Thane, Maharashtra",3.6,87.0,,,29.0,2025-09-10,indiamart_mock,https://www.indiamart.com/proddetail/44b31331.html,15047.64,13793.67,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,High,Veteran,100.0
fb3319de3c9321,Injection Moulding Machine,industrial-machinery,"₹2,057,221 / set",2057220.61,INR,set,5,Apex Quality Export House,Vadodara,Gujarat,"Vadodara, Gujarat",3.5,52.0,Within 24 Hours,,25.0,2025-06-04,indiamart_mock,https://www.indiamart.com/proddetail/ebb0b6db.html,24686.65,22629.43,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,Low,Veteran,100.0
7da578db58e27c,Automatic Industrial Air Compressor,industrial-machinery,"₹1,503,996 / piece",1503996.25,INR,piece,1,National Quality Solutions,Delhi,Delhi,"Delhi, Delhi",3.9,76.0,Within 4 Hours,BIS,17.0,2025-10-14,indiamart_mock,https://www.indiamart.com/proddetail/a7cf3d03.html,18047.96,16543.96,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,Medium,Veteran,100.0
b42818e659e1c4,Energy Efficient Metal Cutting Bandsaw,industrial-machinery,"₹3,837,751 / unit",3837750.89,INR,unit,100,Sri Star Manufacturing Co.,Gurgaon,Haryana,"Gurgaon, Haryana",4.5,52.0,,BIS,19.0,2025-12-16,indiamart_mock,https://www.indiamart.com/proddetail/46897da4.html,46053.01,42215.26,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,Low,Veteran,100.0
a085d423baa45b,Heavy Duty Pneumatic Drill Press,industrial-machinery,"₹2,004,898 / unit",2004898.3,INR,unit,1,Apex Universal Enterprises,Ludhiana,Punjab,"Ludhiana, Punjab",3.1,77.0,Within 4 Hours,ROHS,12.0,2026-05-13,indiamart_mock,https://www.indiamart.com/proddetail/914c57e6.html,24058.78,22053.88,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,Medium,Established,100.0
66893b6ccfcfbf,Industrial Conveyor Belt,industrial-machinery,"₹2,247,038 / unit",2247037.63,INR,unit,100,Modern Universal Trading Co.,Faridabad,Haryana,"Faridabad, Haryana",,50.0,2-3 Days,MSME Registered,11.0,2025-10-03,indiamart_mock,https://www.indiamart.com/proddetail/826547c2.html,26964.45,24717.41,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,Low,Established,80.0
76e00c04556f35,High Speed CNC Lathe Machine,industrial-machinery,"₹3,111,056 / set",3111056.1,INR,set,25,Pioneer Universal Export House,Visakhapatnam,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",3.2,72.0,,MSME Registered,19.0,2026-02-15,indiamart_mock,https://www.indiamart.com/proddetail/bc0790ec.html,37332.67,34221.62,,Asia,Southern Asia,v2,False,Industrial Machinery,South,>10L,Medium,Veteran,100.0
43731eb86254bb,Hydraulic Press Machine,industrial-machinery,"₹4,099,117 / unit",4099117.04,INR,unit,500,Star Universal Industries,Visakhapatnam,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",4.2,90.0,Within 4 Hours,MSME Registered,9.0,2026-01-01,indiamart_mock,https://www.indiamart.com/proddetail/e8703b5a.html,49189.4,45090.29,,Asia,Southern Asia,v2,False,Industrial Machinery,South,>10L,High,Established,100.0
21f83f56a00c50,Heavy Duty Centrifugal Pump,industrial-machinery,"₹164,640 / set",164639.92,INR,set,10,Shree Pioneer Suppliers,Gurgaon,Haryana,"Gurgaon, Haryana",3.8,100.0,,,18.0,2026-04-11,indiamart_mock,https://www.indiamart.com/proddetail/66a5fedb.html,1975.68,1811.04,,Asia,Southern Asia,v2,False,Industrial Machinery,North,1L–10L,Excellent,Veteran,100.0
2dbb77f96a0338,Grinding Mill,industrial-machinery,"₹3,621,983 / set",3621982.94,INR,set,500,Apex Pioneer Manufacturing Co.,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",4.7,75.0,,,,2026-03-16,indiamart_mock,https://www.indiamart.com/proddetail/15b8e3e8.html,43463.8,39841.81,,Asia,Southern Asia,v2,False,Industrial Machinery,Central,>10L,Medium,,100.0
28e789a772e5fd,Industrial Air Compressor,industrial-machinery,"₹2,636,752 / unit",2636752.01,INR,unit,100,Excellent Bharat Pvt. Ltd.,Ludhiana,Punjab,"Ludhiana, Punjab",,,,,15.0,2026-04-02,indiamart_mock,https://www.indiamart.com/proddetail/31adce16.html,31641.02,29004.27,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,,Established,60.0
a91cd5db69f628,Heavy Duty Centrifugal Pump,industrial-machinery,"₹538,292 / piece",538291.58,INR,piece,25,Supreme Pioneer Export House,Nagpur,Maharashtra,"Nagpur, Maharashtra",,84.0,Within 4 Hours,,35.0,2025-12-23,indiamart_mock,https://www.indiamart.com/proddetail/930c6421.html,6459.5,5921.21,,Asia,Southern Asia,v2,False,Industrial Machinery,West,1L–10L,High,Veteran,80.0
5a3d5a1b406b67,Energy Efficient Industrial Air Compressor,industrial-machinery,"₹3,754,113 / unit",3754113.48,INR,unit,1,Prime Universal Enterprises,Coimbatore,Tamil Nadu,"Coimbatore, Tamil Nadu",3.4,65.0,Within 24 Hours,BIS,24.0,2026-01-04,indiamart_mock,https://www.indiamart.com/proddetail/e5ca8f70.html,45049.36,41295.25,,Asia,Southern Asia,v2,False,Industrial Machinery,South,>10L,Medium,Veteran,100.0
571d1505a963b6,Injection Moulding Machine,industrial-machinery,"₹426,155 / piece",426155.31,INR,piece,1,Global Sri Suppliers,Ahmedabad,Gujarat,"Ahmedabad, Gujarat",,58.0,,ROHS,,2025-07-26,indiamart_mock,https://www.indiamart.com/proddetail/3a8635de.html,5113.86,4687.71,,Asia,Southern Asia,v2,False,Industrial Machinery,West,1L–10L,Low,,80.0
